rank,prev_rank,name,league,off,def,spi
327,347,Mallorca,Spanish Segunda Division,1.07,1.26,40.53
328,325,Bursaspor,Turkish Turkcell Super Lig,0.97,1.15,40.36
329,327,Waasland-Beveren,Belgian Jupiler League,1.42,1.7,40.16
330,348,Portland Timbers,Major League Soccer,1.42,1.7,40.08
331,317,Hammarby,Swedish Allsvenskan,1.36,1.64,40.01
332,309,Morelia,Mexican Primera Division Torneo Clausura,1.25,1.5,39.95
333,332,Belgrano Cordoba,Argentina Primera Division,0.93,1.13,39.92
334,335,Tondela,Portuguese Liga,1.2,1.45,39.71
335,363,Montreal Impact,Major League Soccer,1.12,1.37,39.63
336,336,Patronato,Argentina Primera Division,1.11,1.36,39.58
337,334,Antalyaspor,Turkish Turkcell Super Lig,1.2,1.47,39.46
338,346,Portsmouth,English League One,1.32,1.62,39.41
339,324,Sanfrecce Hiroshima,Japanese J League,1.02,1.26,39.4
340,338,FC Zurich,Swiss Raiffeisen Super League,1.1,1.36,39.39
341,339,San Martin San Juan,Argentina Primera Division,1.1,1.36,39.39
342,315,Columbus Crew,Major League Soccer,1.08,1.33,39.39
343,333,Hibernian,Scottish Premiership,1.13,1.39,39.36
344,319,Guangzhou RF,Chinese Super League,1.46,1.78,39.35
345,340,SC Paderborn,German 2. Bundesliga,1.36,1.66,39.34
346,331,DC United,Major League Soccer,1.24,1.52,39.28
347,341,Rosario Central,Argentina Primera Division,0.96,1.2,39.27
348,342,Godoy Cruz,Argentina Primera Division,1.04,1.29,39.22
349,343,PEC Zwolle,Dutch Eredivisie,1.25,1.54,39.22
350,344,Goiás,Brasileiro Série A,1.17,1.45,39.15
351,356,Östersunds FK,Swedish Allsvenskan,1.21,1.5,39.14
352,353,Newcastle Jets,Australian A-League,1.39,1.71,39.14
353,330,Atlas,Mexican Primera Division Torneo Clausura,1.14,1.42,39.11
354,345,Akhisar Belediye,Turkish Turkcell Super Lig,1.18,1.47,39.02
355,374,AaB,Danish SAS-Ligaen,1.2,1.49,38.98
356,357,Asteras Tripolis,Greek Super League,0.79,0.99,38.95
357,373,Yokohama F. Marinos,Japanese J League,1.29,1.62,38.6
358,329,FC Dallas,Major League Soccer,1.17,1.48,38.57
359,354,Granada,Spanish Segunda Division,0.82,1.04,38.55
360,326,Albacete,Spanish Segunda Division,0.96,1.23,38.43
361,351,Holstein Kiel,German 2. Bundesliga,1.4,1.77,38.28
362,361,Melbourne Victory,Australian A-League,1.27,1.62,38.26
363,367,Brescia,Italy Serie B,1.24,1.58,38.22
364,372,Neuchatel Xamax,Swiss Raiffeisen Super League,1.18,1.51,38.22
365,399,Sporting Gijón,Spanish Segunda Division,0.88,1.14,38.16
366,355,Ankaragucu,Turkish Turkcell Super Lig,1.06,1.36,38.15
367,360,San Martin de Tucuman,Argentina Primera Division,1.11,1.43,38.12
368,362,C.D. Nacional,Portuguese Liga,1.14,1.47,37.91
369,349,Tianjin Teda,Chinese Super League,1.23,1.58,37.91
370,364,CSA,Brasileiro Série A,1.13,1.47,37.79
371,377,Houston Dynamo,Major League Soccer,1.32,1.71,37.6
372,368,Fortaleza,Brasileiro Série A,1.12,1.47,37.47
373,386,Consadole Sapporo,Japanese J League,1.27,1.65,37.47
374,380,Orlando Pirates,South African ABSA Premier League,0.95,1.26,37.41
375,370,F91 Dudelange,UEFA Europa League,1.35,1.76,37.32
376,365,OFI Crete,Greek Super League,1.05,1.39,37.25
377,407,Haugesund,Norwegian Tippeligaen,1.14,1.51,37.23
378,366,Kilmarnock,Scottish Premiership,0.91,1.23,37.21
379,369,Vissel Kobe,Japanese J League,1.33,1.75,37.13
380,382,Querétaro,Mexican Primera Division Torneo Clausura,1.02,1.38,36.77
381,388,Lamia,Greek Super League,0.89,1.22,36.7
382,384,Gimnasia La Plata,Argentina Primera Division,0.98,1.34,36.67
383,412,St. Pölten,Austrian T-Mobile Bundesliga,1.09,1.49,36.52
384,393,Tianjin Quanujian,Chinese Super League,1.08,1.48,36.47
385,387,Reading,English League Championship,1.08,1.48,36.3
386,392,Real Salt Lake,Major League Soccer,1.21,1.65,36.25
387,378,Chongqing Lifan,Chinese Super League,1.1,1.52,36.11
388,398,Mamelodi Sundowns,South African ABSA Premier League,0.98,1.37,36.0
389,408,FC Xanthi,Greek Super League,0.72,1.03,35.97
390,397,FC Spartak Trnava,UEFA Europa League,0.9,1.27,35.94
391,400,Avaí,Brasileiro Série A,1.08,1.49,35.93
392,396,Jahn Regensburg,German 2. Bundesliga,1.35,1.83,35.93
393,383,Cerezo Osaka,Japanese J League,0.85,1.2,35.85
394,394,Minnesota United FC,Major League Soccer,1.36,1.86,35.85
395,381,Panetolikos,Greek Super League,1.06,1.48,35.78
396,376,Sarpsborg,Norwegian Tippeligaen,1.06,1.48,35.75
397,375,Arminia Bielefeld,German 2. Bundesliga,1.15,1.6,35.64
398,389,SK Brann,Norwegian Tippeligaen,1.19,1.65,35.62
399,385,Maritimo,Portuguese Liga,0.96,1.36,35.62
400,379,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.3,1.79,35.51
401,424,FC Ingolstadt 04,German 2. Bundesliga,1.12,1.58,35.44
402,391,Deportivo La Coruña,Spanish Segunda Division,0.92,1.32,35.33
403,371,Málaga,Spanish Segunda Division,0.84,1.22,35.32
404,402,Eupen,Belgian Jupiler League,1.19,1.68,35.25
405,431,Metallurg Krasnoyarsk,Russian Premier Liga,1.05,1.5,35.21
406,409,Henan Jianye,Chinese Super League,1.09,1.56,34.99
407,416,Almeria,Spanish Segunda Division,0.81,1.2,34.8
408,401,Burton Albion,English League One,1.13,1.63,34.57
409,413,Chicago Fire,Major League Soccer,1.13,1.64,34.36
410,427,Black Aces,South African ABSA Premier League,1.05,1.54,34.35
411,406,Esbjerg,Danish SAS-Ligaen,0.97,1.44,34.28
412,414,GIF Sundsvall,Swedish Allsvenskan,1.18,1.72,34.2
413,419,Lecce,Italy Serie B,1.04,1.54,34.18
414,415,KV Oostende,Belgian Jupiler League,1.02,1.51,34.18
415,421,Shenzhen FC,Chinese Super League,1.05,1.55,34.14
416,403,Guizhou Renhe,Chinese Super League,1.01,1.5,34.13
417,428,VVV Venlo,Dutch Eredivisie,1.23,1.79,34.04
418,440,Benevento,Italy Serie B,1.02,1.52,34.02
419,418,Palermo,Italy Serie B,1.02,1.53,33.95
420,410,New England Revolution,Major League Soccer,1.17,1.71,33.9
421,411,Paris FC,French Ligue 2,0.7,1.1,33.78
422,422,Adelaide United,Australian A-League,1.04,1.56,33.7
423,452,1. FC Heidenheim 1846,German 2. Bundesliga,1.0,1.51,33.64
424,435,Orlando City SC,Major League Soccer,1.18,1.75,33.61
425,425,Odd BK,Norwegian Tippeligaen,1.02,1.55,33.46
426,442,Panionios,Greek Super League,0.93,1.44,33.39
427,426,Le Havre,French Ligue 2,0.93,1.44,33.22
428,395,Randers FC,Danish SAS-Ligaen,0.84,1.32,33.22
429,429,KSC Lokeren,Belgian Jupiler League,1.05,1.6,33.19
430,430,Paraná,Brasileiro Série A,0.86,1.35,33.17
431,404,Shimizu S-Pulse,Japanese J League,1.26,1.87,33.12
432,443,Grasshoppers Zürich,Swiss Raiffeisen Super League,0.89,1.4,32.95
433,423,SV Darmstadt 98,German 2. Bundesliga,1.02,1.58,32.82
434,417,Gamba Osaka,Japanese J League,1.17,1.79,32.72
435,441,VfL Bochum,German 2. Bundesliga,1.08,1.67,32.7
436,437,Lobos de la BUAP,Mexican Primera Division Torneo Clausura,1.02,1.59,32.68
437,446,SV Sandhausen,German 2. Bundesliga,1.03,1.6,32.65
438,433,Wuhan Zall,Chinese Super League,1.0,1.56,32.62
439,432,Western Sydney FC,Australian A-League,1.27,1.92,32.55
440,450,De Graafschap,Dutch Eredivisie,1.15,1.77,32.49
441,420,Ipswich Town,English League Championship,0.93,1.47,32.49
442,447,Stromsgodset,Norwegian Tippeligaen,1.2,1.84,32.36
443,478,Hartberg,Austrian T-Mobile Bundesliga,1.45,2.18,32.27
444,468,Lorient,French Ligue 2,1.03,1.63,32.26
445,438,Bodo/Glimt,Norwegian Tippeligaen,1.14,1.77,32.25
446,444,Guizhou Hengfeng Zhicheng,Chinese Super League,1.07,1.68,32.23
447,439,Arizona United,United Soccer League,1.09,1.71,32.19
448,436,Giannina,Greek Super League,0.68,1.15,32.17
449,454,Nashville SC,United Soccer League,1.04,1.65,32.11
450,458,Real Oviedo,Spanish Segunda Division,0.83,1.37,32.02
451,494,IF Elfsborg,Swedish Allsvenskan,1.15,1.81,31.81
452,445,Feirense,Portuguese Liga,0.85,1.41,31.78
453,464,Bidvest Wits,South African ABSA Premier League,0.95,1.54,31.76
454,451,Indy Eleven,United Soccer League,1.1,1.74,31.76
455,453,Cercle Brugge,Belgian Jupiler League,1.2,1.88,31.72
456,462,Valerenga,Norwegian Tippeligaen,1.09,1.76,31.43
457,476,Crotone,Italy Serie B,0.94,1.55,31.39
458,467,FC Cincinnati,Major League Soccer,1.0,1.63,31.37
459,456,1. FC Magdeburg,German 2. Bundesliga,0.89,1.49,31.36
460,448,Clermont Foot,French Ligue 2,0.78,1.34,31.27
461,405,Lens,French Ligue 2,0.68,1.19,31.25
462,484,Shonan Bellmare,Japanese J League,0.92,1.55,30.97
463,449,Cittadella,Italy Serie B,1.0,1.66,30.95
464,471,Verona,Italy Serie B,0.94,1.58,30.91
465,488,Extremadura UD,Spanish Segunda Division,0.85,1.46,30.72
466,455,Elche,Spanish Segunda Division,0.85,1.46,30.67
467,459,Emmen,Dutch Eredivisie,1.13,1.86,30.6
468,434,Orléans,French Ligue 2,1.05,1.75,30.57
469,480,Dynamo Dresden,German 2. Bundesliga,0.95,1.61,30.54
470,489,San Jose Earthquakes,Major League Soccer,1.22,1.98,30.53
471,470,Bolton,English League Championship,0.95,1.63,30.3
472,474,Polokwane City FC,South African ABSA Premier League,0.87,1.52,30.28
473,487,IFK Goteborg,Swedish Allsvenskan,1.13,1.88,30.24
474,472,Perugia,Italy Serie B,0.96,1.66,29.9
475,481,Tampa Bay Rowdies,United Soccer League,0.93,1.62,29.87
476,461,Kristiansund BK,Norwegian Tippeligaen,0.99,1.71,29.79
477,463,Vejle,Danish SAS-Ligaen,0.98,1.71,29.45
478,479,Vancouver Whitecaps,Major League Soccer,1.05,1.81,29.45
479,477,Coventry City,English League One,0.94,1.66,29.26
480,457,Wellington Phoenix,Australian A-League,1.2,2.03,29.21
481,469,FC St. Pauli,German 2. Bundesliga,0.99,1.74,29.2
482,466,Helsingborgs IF,Swedish Allsvenskan,0.99,1.78,28.73
483,465,Spezia,Italy Serie B,0.95,1.72,28.62
484,492,AS Nancy Lorraine,French Ligue 2,0.87,1.61,28.59
485,473,Doncaster Rovers,English League One,1.01,1.81,28.48
486,503,Sonderjyske,Danish SAS-Ligaen,0.86,1.61,28.42
487,483,Louisville City FC,United Soccer League,1.02,1.84,28.36
488,509,Cosenza,Italy Serie B,0.78,1.51,28.19
489,500,Fortuna Sittard,Dutch Eredivisie,1.29,2.22,28.12
490,501,Anzhi Makhachkala,Russian Premier Liga,0.78,1.51,28.03
491,499,Orange County SC,United Soccer League,1.16,2.06,28.0
492,514,Hobro IK,Danish SAS-Ligaen,0.91,1.69,28.0
493,460,Tenerife,Spanish Segunda Division,0.85,1.61,27.99
494,490,Las Palmas,Spanish Segunda Division,0.89,1.68,27.88
495,491,Real Zaragoza,Spanish Segunda Division,0.88,1.67,27.82
496,475,Kaizer Chiefs,South African ABSA Premier League,0.67,1.37,27.72
497,495,Rayo Majadahonda,Spanish Segunda Division,0.94,1.76,27.69
498,497,Oita Trinita,Japanese J League,0.77,1.51,27.63
499,527,FC Wacker Innsbruck,Austrian T-Mobile Bundesliga,0.9,1.73,27.3
500,485,Vendsyssel,Danish SAS-Ligaen,0.87,1.69,27.21
501,498,Excelsior,Dutch Eredivisie,1.09,2.01,27.18
502,496,Kalmar FF,Swedish Allsvenskan,0.79,1.58,27.17
503,525,Oxford United,English League One,0.89,1.74,26.85
504,523,Cremonese,Italy Serie B,0.68,1.45,26.61
505,522,Vegalta Sendai,Japanese J League,0.88,1.75,26.59
506,502,Motherwell,Scottish Premiership,0.93,1.81,26.58
507,506,Veracruz,Mexican Primera Division Torneo Clausura,0.88,1.75,26.57
508,482,Stabaek,Norwegian Tippeligaen,1.01,1.93,26.56
509,507,SpVgg Greuther Fürth,German 2. Bundesliga,0.85,1.71,26.38
510,511,V-Varen Nagasaki,Japanese J League,0.92,1.82,26.29
511,493,Reno 1868 FC,United Soccer League,0.93,1.84,26.19
512,532,North Carolina FC,United Soccer League,1.01,1.97,26.09
513,505,Viking FK,Norwegian Tippeligaen,0.82,1.69,25.98
514,515,Erzgebirge Aue,German 2. Bundesliga,0.82,1.71,25.81
515,504,Sacramento Republic FC,United Soccer League,0.76,1.61,25.77
516,486,SuperSport United,South African ABSA Premier League,0.58,1.33,25.7
517,512,Jubilo Iwata,Japanese J League,0.73,1.57,25.64
518,518,Hearts,Scottish Premiership,0.78,1.66,25.59
519,513,Numancia,Spanish Segunda Division,0.84,1.76,25.4
520,524,Lugo,Spanish Segunda Division,0.79,1.69,25.17
521,531,Colorado Rapids,Major League Soccer,0.98,1.99,25.12
522,517,Foggia,Italy Serie B,0.81,1.74,25.1
523,510,Valenciennes,French Ligue 2,1.12,2.19,25.06
524,528,MSV Duisburg,German 2. Bundesliga,0.97,1.98,25.05
525,521,Oklahoma City Energy FC,United Soccer League,0.98,2.0,25.04
526,529,Sandefjord,Norwegian Tippeligaen,1.0,2.03,25.03
527,530,Real Monarchs SLC,United Soccer League,1.05,2.11,24.71
528,538,Chateauroux,French Ligue 2,0.63,1.48,24.64
529,508,Salernitana,Italy Serie B,0.81,1.76,24.6
530,556,Grenoble,French Ligue 2,0.85,1.83,24.55
531,519,Orebro SK,Swedish Allsvenskan,0.92,1.93,24.5
532,533,New York Red Bulls II,United Soccer League,1.11,2.23,24.42
533,555,AmaZulu,South African ABSA Premier League,0.79,1.75,24.35
534,540,Charleston Battery,United Soccer League,0.8,1.76,24.33
535,516,Lillestrom,Norwegian Tippeligaen,0.77,1.73,24.01
536,520,IK Sirius,Swedish Allsvenskan,0.96,2.03,23.98
537,550,Saint Louis FC,United Soccer League,0.75,1.71,23.9
538,548,Pittsburgh Riverhounds,United Soccer League,0.8,1.8,23.88
539,526,Fleetwood Town,English League One,0.74,1.71,23.57
540,545,AD Alcorcon,Spanish Segunda Division,0.67,1.6,23.57
541,546,New Mexico United,United Soccer League,0.95,2.05,23.5
542,552,Golden Arrows,South African ABSA Premier League,0.6,1.51,23.32
543,551,Mjondalen,Norwegian Tippeligaen,0.93,2.04,23.29
544,567,Bloem Celtic,South African ABSA Premier League,0.73,1.72,23.27
545,558,Blackpool,English League One,0.72,1.7,23.25
546,539,US Pescara,Italy Serie B,0.77,1.8,23.12
547,557,San Antonio FC,United Soccer League,0.87,1.97,22.83
548,534,Auxerre,French Ligue 2,0.5,1.38,22.83
549,535,AC Horsens,Danish SAS-Ligaen,0.76,1.79,22.81
550,553,Tromso,Norwegian Tippeligaen,0.9,2.02,22.78
551,541,Livingston,Scottish Premiership,0.76,1.81,22.72
552,542,Levadiakos,Greek Super League,0.53,1.43,22.54
553,563,Portland Timbers 2,United Soccer League,0.96,2.14,22.43
554,536,Highlands Park FC,South African ABSA Premier League,0.66,1.67,22.31
555,559,Brisbane Roar,Australian A-League,1.07,2.35,21.95
556,537,Mansfield Town,English League Two,0.76,1.87,21.8
557,560,Reus Deportiu,Spanish Segunda Division,0.56,1.53,21.75
558,561,Fresno FC,United Soccer League,0.69,1.76,21.72
559,544,Bristol Rovers,English League One,0.58,1.59,21.63
560,572,Cordoba,Spanish Segunda Division,1.0,2.3,21.21
561,547,NAC,Dutch Eredivisie,0.8,1.98,21.15
562,549,Sagan Tosu,Japanese J League,0.5,1.48,21.06
563,562,Shrewsbury Town,English League One,0.68,1.8,21.02
564,564,Ascoli,Italy Serie B,0.69,1.82,21.0
565,543,Peterborough United,English League One,0.72,1.88,20.73
566,568,St Johnstone,Scottish Premiership,0.6,1.68,20.73
567,570,Ranheim,Norwegian Tippeligaen,0.74,1.94,20.48
568,574,Padova,Italy Serie B,0.6,1.72,20.2
569,571,Austin Bold FC,United Soccer League,0.62,1.76,20.12
570,612,Accrington Stanley,English League One,0.66,1.83,20.03
571,578,Livorno,Italy Serie B,0.66,1.85,19.81
572,566,Matsumoto Yamaga FC,Japanese J League,0.55,1.66,19.77
573,554,Lincoln City,English League Two,0.55,1.66,19.75
574,586,Bury,English League Two,0.86,2.19,19.72
575,576,Free State Stars,South African ABSA Premier League,0.7,1.92,19.62
576,585,Niort,French Ligue 2,0.49,1.58,19.47
577,582,Baroka FC,South African ABSA Premier League,0.57,1.72,19.34
578,580,IK Start,Norwegian Tippeligaen,0.74,2.04,19.26
579,565,Gillingham,English League One,0.74,2.02,19.23
580,584,Oldham Athletic,English League Two,0.7,1.98,19.06
581,592,Carpi,Italy Serie B,0.74,2.06,18.9
582,579,Central Coast Mariners,Australian A-League,0.89,2.33,18.75
583,600,AFC Wimbledon,English League One,0.59,1.81,18.72
584,575,Apollon Smyrni,Greek Super League,0.51,1.66,18.71
585,573,F.B.C Unione Venezia,Italy Serie B,0.57,1.78,18.69
586,581,Falkenbergs FF,Swedish Allsvenskan,0.68,1.97,18.59
587,569,AC Ajaccio,French Ligue 2,0.49,1.64,18.45
588,577,Vasby United,Swedish Allsvenskan,0.68,1.98,18.43
589,587,Forest Green Rovers,English League Two,0.68,1.98,18.41
590,597,Sochaux,French Ligue 2,0.45,1.58,18.3
591,588,Dalkurd FF,Swedish Allsvenskan,0.65,1.96,18.19
592,590,Maritzburg Utd,South African ABSA Premier League,0.41,1.54,17.9
593,589,Chippa United,South African ABSA Premier League,0.46,1.64,17.79
594,614,Crewe Alexandra,English League Two,0.75,2.17,17.77
595,591,Birmingham Legion FC,United Soccer League,0.65,2.0,17.74
596,595,St Mirren,Scottish Premiership,0.65,2.03,17.3
597,596,LA Galaxy II,United Soccer League,1.02,2.68,17.22
598,594,Wycombe Wanderers,English League One,0.64,2.02,17.11
599,611,Rochdale,English League One,0.64,2.09,16.33
600,613,Southend United,English League One,0.65,2.13,16.13
601,609,Charlotte Independence,United Soccer League,0.7,2.23,16.12
602,599,Bethlehem Steel FC,United Soccer League,0.65,2.16,15.93
603,583,Milton Keynes Dons,English League Two,0.65,2.15,15.86
604,598,Beziers AS,French Ligue 2,0.6,2.07,15.84
605,606,Gimnástic Tarragona,Spanish Segunda Division,0.42,1.72,15.66
606,605,Red Star FC 93,French Ligue 2,0.53,1.95,15.53
607,603,Tranmere Rovers,English League Two,0.44,1.78,15.53
608,617,Stevenage,English League Two,0.57,2.06,15.4
609,607,Brommapojkarna,Swedish Allsvenskan,0.67,2.24,15.39
610,626,Walsall,English League One,0.61,2.14,15.07
611,619,Rio Grande Valley FC Toros,United Soccer League,0.61,2.18,14.7
612,602,Swindon Town,English League Two,0.5,2.0,14.38
613,608,Black Leopards,South African ABSA Premier League,0.55,2.1,14.34
614,601,Colorado Springs Switchbacks FC,United Soccer League,0.49,1.98,14.33
615,616,Ottawa Fury FC,United Soccer League,0.41,1.82,14.27
616,604,GFC Ajaccio,French Ligue 2,0.42,1.87,14.13
617,627,Tulsa Roughnecks,United Soccer League,0.71,2.46,13.91
618,629,Bradford City,English League One,0.61,2.26,13.86
619,623,El Paso Locomotive FC,United Soccer League,0.43,1.94,13.64
620,593,Plymouth Argyle,English League One,0.64,2.35,13.56
621,625,Exeter City,English League Two,0.46,2.01,13.5
622,618,Swope Park Rangers,United Soccer League,0.67,2.43,13.38
623,620,Las Vegas Lights FC,United Soccer League,0.69,2.48,13.29
624,622,Toronto FC II,United Soccer League,0.82,2.73,13.27
625,624,Carlisle United,English League Two,0.65,2.42,13.2
626,615,Cheltenham Town,English League Two,0.6,2.34,13.0
627,628,Newport County,English League Two,0.37,1.88,12.97
628,610,Scunthorpe,English League One,0.52,2.22,12.72
629,630,Penn FC,United Soccer League,0.41,2.07,11.9
630,631,Trelleborgs FF,Swedish Allsvenskan,0.57,2.41,11.9
631,632,Dundee,Scottish Premiership,0.56,2.39,11.89
632,621,Northampton Town,English League Two,0.53,2.34,11.69
633,641,Morecambe,English League Two,0.47,2.28,11.29
634,636,Hamilton Academical,Scottish Premiership,0.51,2.44,10.7
635,637,Colchester United,English League Two,0.31,2.09,9.77
636,633,Atlanta United 2,United Soccer League,0.42,2.37,9.6
637,635,Hartford Athletic,United Soccer League,0.44,2.42,9.58
638,634,Memphis 901 FC,United Soccer League,0.28,2.07,9.31
639,639,Macclesfield,English League Two,0.34,2.32,8.63
640,638,Loudoun United FC,United Soccer League,0.23,2.12,8.06
641,642,Port Vale,English League Two,0.2,2.09,7.67
642,640,Cambridge United,English League Two,0.2,2.14,7.36
643,643,Grimsby Town,English League Two,0.2,2.15,7.28
644,645,Notts County,English League Two,0.3,2.5,6.77
645,644,Crawley Town,English League Two,0.22,2.41,6.13
646,646,Yeovil Town,English League Two,0.2,2.56,5.11
647,647,Richmond Kickers,United Soccer League,0.26,2.97,4.2
648,648,Tacoma Defiance,United Soccer League,0.2,2.84,4.04
